feature,score,
Ill300x.ref_count,0.054362402,
pacbio.ref_reason_alignmentScore,0.046902725,
Ill300x.ref_reason_alignmentScore,0.046883344,
Ill250.alt_count,0.046578151,
Ill250.alt_reason_alignmentScore,0.039534057,
pacbio.ref_count,0.037558184,
Ill250.ref_reason_alignmentScore,0.037492109,
Ill250.ref_count,0.036960759,
pacbio.alt_count,0.036907597,
pacbio.alt_reason_alignmentScore,0.036570245,
Ill250.alt_insertSize_std,0.034995618,
pacbio.ref_insertSize_std,0.034319046,
Ill250.alt_alnScore_std,0.034152764,
pacbio.ref_alnScore_std,0.031776248,
Ill300x.alt_count,0.031660217,
Ill300x.alt_reason_alignmentScore,0.030684935,
pacbio.alt_insertSize_std,0.029871027,
pacbio.alt_alnScore_std,0.029398019,
Ill300x.alt_insertSize_std,0.022433841,
Ill250.alt_insertSize_mean,0.02013636,
pacbio.alt_insertSize_mean,0.017218885,
Ill250.alt_alnScore_mean,0.015824152,
pacbio.ref_insertSize_mean,0.015402231,
IllMP.ref_reason_alignmentScore,0.014881544,
pacbio.ref_alnScore_mean,0.014259884,0.796764345
IllMP.ref_count,0.012045928,
IllMP.alt_insertSize_mean,0.010573133,
Ill250.ref_insertSize_std,0.009230344,
IllMP.alt_reason_alignmentScore,0.009174415,
IllMP.ref_alnScore_std,0.008589039,
pacbio.alt_alnScore_mean,0.008554055,
IllMP.alt_alnScore_mean,0.007835487,
Ill250.ref_alnScore_std,0.007279934,
TenX.HP2_ref_count,0.006798318,
IllMP.alt_insertSize_std,0.006379706,
Ill300x.alt_alnScore_std,0.006175565,
IllMP.ref_insertSize_std,0.005806904,
Ill250.ref_insertSize_mean,0.00516381,
IllMP.alt_alnScore_std,0.005107397,
TenX.HP1_alt_reason_alignmentScore,0.004878058,
IllMP.ref_alnScore_mean,0.004121453,
TenX.HP2_alt_reason_alignmentScore,0.003624856,
IllMP.alt_count,0.003003615,
TenX.HP1_alt_count,0.002931427,
TenX.HP1_ref_reason_alignmentScore,0.002746321,
IllMP.ref_insertSize_mean,0.002586238,
TenX.HP1_alt_insertSize_mean,0.002454681,
TenX.HP2_ref_reason_alignmentScore,0.002408034,
Ill300x.alt_insertSize_mean,0.002318125,
TenX.HP1_alt_insertSize_std,0.002216577,
TenX.HP2_alt_alnScore_std,0.002073589,
TenX.HP1_ref_count,0.002025789,
TenX.HP2_alt_insertSize_std,0.002024365,
TenX.HP2_alt_alnScore_mean,0.001902801,
TenX.HP1_alt_alnScore_std,0.001891082,
TenX.HP1_ref_alnScore_std,0.001837594,
TenX.HP2_ref_insertSize_std,0.001593891,
Ill250.ref_alnScore_mean,0.001464437,
Ill300x.amb_reason_multimapping,0.001397656,
chrom,0.001328088,
IllMP.amb_alnScore_mean,0.001108404,
Ill300x.ref_alnScore_std,0.001106331,
TenX.HP2_alt_count,0.00109277,
pacbio.amb_count,0.000995999,
pacbio.amb_reason_flanking,0.000977135,
TenX.HP2_alt_insertSize_mean,0.000963886,
Ill300x.ref_insertSize_mean,0.000957578,
Ill300x.ref_insertSize_std,0.000907754,
pacbio.amb_alnScore_std,0.000897465,
TenX.HP1_amb_insertSize_mean,0.000894902,
IllMP.amb_reason_multimapping,0.000839647,
TenX.HP2_amb_count,0.000839507,
Ill300x.amb_count,0.000829253,
TenX.HP1_amb_reason_alignmentScore_alignmentScore,0.000824012,
start,0.000817256,
TenX.HP1_amb_reason_multimapping,0.000805301,
TenX.HP2_amb_reason_flanking,0.000800591,
pacbio.amb_alnScore_mean,0.000772645,
TenX.HP1_amb_count,0.00075773,
TenX.HP1_amb_reason_flanking,0.000744956,
Ill300x.amb_reason_flanking,0.000705509,
Ill300x.ref_alnScore_mean,0.000697255,
IllMP.amb_reason_flanking,0.000656565,
Ill300x.amb_alnScore_mean,0.000643383,
pacbio.amb_reason_alignmentScore_alignmentScore,0.000640681,
Ill250.amb_reason_flanking,0.000636044,
Ill250.amb_alnScore_std,0.000628366,
Ill250.amb_alnScore_mean,0.000610007,
TenX.HP2_amb_alnScore_std,0.00059645,
TenX.HP1_ref_insertSize_std,0.000593589,
end,0.000592262,
Ill300x.alt_reason_insertSizeScore,0.000587046,
TenX.HP1_alt_alnScore_mean,0.000579943,
TenX.HP2_amb_alnScore_mean,0.000560785,
Ill300x.amb_reason_alignmentScore_alignmentScore,0.000558355,
Ill300x.alt_alnScore_mean,0.000547061,
TenX.HP2_ref_alnScore_mean,0.000535211,
TenX.HP1_amb_alnScore_mean,0.000535102,
TenX.HP2_ref_alnScore_std,0.000527797,
Ill250.amb_insertSize_mean,0.000513751,
TenX.HP2_amb_insertSize_mean,0.00050788,
Ill300x.amb_reason_orientation_orientation,0.000505309,
TenX.HP2_ref_insertSize_mean,0.000504587,
Ill300x.amb_reason_same_scores,0.000496321,
IllMP.amb_insertSize_mean,0.000475446,
Ill250.amb_count,0.000470079,
TenX.HP2_amb_insertSize_std,0.000468648,
TenX.HP1_amb_insertSize_std,0.000461055,
IllMP.amb_reason_same_scores,0.000445485,
TenX.HP1_amb_alnScore_std,0.000436864,
IllMP.amb_alnScore_std,0.000418947,
pacbio.amb_insertSize_mean,0.000407369,
TenX.HP1_ref_insertSize_mean,0.000400543,
pacbio.amb_reason_multimapping,0.000390386,
Ill300x.amb_insertSize_std,0.000381628,
TenX.HP1_ref_alnScore_mean,0.000376805,
Ill300x.amb_insertSize_mean,0.000353855,
TenX.HP2_amb_reason_same_scores,0.000353827,
IllMP.amb_insertSize_std,0.000345999,
Ill300x.amb_alnScore_std,0.000327755,
TenX.HP1_amb_reason_orientation_orientation,0.000326949,
Ill250.amb_reason_alignmentScore_alignmentScore,0.000290605,
pacbio.amb_insertSize_std,0.000282336,
TenX.HP2_amb_reason_orientation_orientation,0.000281717,
IllMP.amb_reason_orientation_orientation,0.000275458,
Ill250.amb_reason_multimapping,0.000273736,
TenX.HP2_amb_reason_alignmentScore_alignmentScore,0.000265677,
IllMP.amb_count,0.000263661,
Ill250.amb_reason_orientation_orientation,0.000263642,
IllMP.amb_reason_alignmentScore_alignmentScore,0.000261777,
pacbio.amb_reason_same_scores,0.000241725,
Ill250.alt_reason_insertSizeScore,0.000220227,
TenX.HP2_amb_reason_multimapping,0.000218054,
TenX.HP1_amb_reason_orientation_alignmentScore,0.000166916,
Size,0.00015917,
Ill250.amb_insertSize_std,0.000151619,
IllMP.ref_reason_orientation,0.000122732,
TenX.HP1_alt_reason_insertSizeScore,0.000122044,
Ill250.amb_reason_orientation_alignmentScore,0.000109556,
TenX.HP2_alt_reason_insertSizeScore,9.92E-05,
tandemrep_pct,9.24E-05,
IllMP.alt_reason_insertSizeScore,8.66E-05,
segdup_cnt,8.40E-05,
TenX.HP1_amb_reason_same_scores,8.00E-05,
tandemrep_cnt,6.79E-05,
TenX.HP2_amb_reason_orientation_alignmentScore,6.58E-05,
TenX.HP1_amb_reason_alignmentScore_orientation,6.34E-05,
segdup_pct,5.14E-05,
Ill250.amb_reason_same_scores,5.04E-05,
Ill250.amb_reason_alignmentScore_orientation,4.84E-05,
TenX.HP2_ref_reason_orientation,4.29E-05,
IllMP.ref_reason_insertSizeScore,4.09E-05,
TenX.HP2_amb_reason_alignmentScore_orientation,2.56E-05,
IllMP.amb_reason_orientation_alignmentScore,2.38E-05,
TenX.HP1_amb_reason_insertSizeScore_alignmentScore,2.36E-05,
IllMP.amb_reason_alignmentScore_orientation,2.29E-05,
Ill300x.amb_reason_orientation_alignmentScore,1.91E-05,
Ill300x.amb_reason_alignmentScore_orientation,0,
Ill300x.ref_reason_orientation,0,
IllMP.alt_reason_orientation,0,
Ill250.ref_reason_orientation,0,
IllMP.amb_reason_insertSizeScore_alignmentScore,0,
IllMP.amb_reason_insertSizeScore_insertSizeScore,0,
Ill300x.amb_reason_insertSizeScore_insertSizeScore,0,
TenX.HP1_alt_reason_orientation,0,
Ill300x.amb_reason_insertSizeScore_alignmentScore,0,
Ill300x.ref_reason_insertSizeScore,0,
TenX.HP1_ref_reason_orientation,0,
Ill250.amb_reason_insertSizeScore_alignmentScore,0,
TenX.HP2_alt_reason_orientation,0,
refN_pct,0,
refN_cnt,0,
Ill300x.alt_reason_orientation,0,
Ill250.alt_reason_orientation,0,
TenX.HP2_amb_reason_insertSizeScore_alignmentScore,0,